id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image
4646,89512,一次性勺子单独包装冰淇淋布丁甜品勺子商用塑料小汤勺奶茶店专用,https://img.alicdn.com/bao/uploaded/O1CN01RnKMOU1tvZ7o1yMWQ_!!6000000005964-0-yinhe.jpg,用了么餐具餐饮服务企业店,25.0,满20减3,餐饮具,1
1251302,104460,喜碧温顿泡酒瓶酿酒玻璃空瓶子密封罐带盖葡萄红酒饮料酵素食品级,https://img.alicdn.com/bao/uploaded/O1CN01GxAeCn1aZ8zRZRaly_!!6000000003343-0-yinhe.jpg,Scybe/喜碧,59.9,,厨房/烹饪用具,1
104524,"661,705",美的电磁炉家用炒菜火锅一体全套小型电池炉灶正品官方旗舰店新款,https://img.alicdn.com/bao/uploaded/O1CN01zGgWN31jbHBlMJly6_!!6000000004566-0-yinhe.jpg,Midea/美的,118.0,补贴48元,厨房电器,1
1554183,102386,小天鹅洗烘套装小乌梅2.0小钢炮3.0超薄全嵌10KG洗衣机烘干机组合,https://img.alicdn.com/bao/uploaded/O1CN01ys8fPZ1yioEuDsTtw_!!6000000006613-0-yinhe.jpg,Littleswan/小天鹅,7999.0,补贴2500元,大家电,1
1563810,102386,【康巴赫】不粘锅炒锅304不锈钢蜂窝炒菜锅电磁炉燃气灶通用yn,https://img.alicdn.com/bao/uploaded/O1CN01esHzj61LM7YNQEUW5_!!6000000001284-0-yinhe.jpg,KBH/康巴赫,169.0,满600减431,厨房/烹饪用具,1
99309,,[小灶王]老板燃气灶煤气灶家用定时灶具E1天然气灶台官方旗舰店,https://img.alicdn.com/bao/uploaded/O1CN01jzCKdT1ZDKbjMwfNr_!!6000000003160-0-yinhe.jpg,Robam/老板,1189.0,满999减30,大家电,1
1547472,102386,Georg Jensen 乔治杰生Bernadotte 白葡萄酒杯香槟杯玻璃杯六只装,https://img.alicdn.com/bao/uploaded/O1CN016tdI8g1OQBxr1F7gb_!!6000000001699-0-yinhe.jpg,Georg Jensen,690.0,官方8.8折,餐饮具,1
104560,"661,705",美的电热水壶家用不锈钢电热保温一体烧水壶自动大容量开水壶华凌,https://img.alicdn.com/bao/uploaded/O1CN013pQkZ42723VOiYUUl_!!6000000007738-0-yinhe.jpg,Midea/美的,59.0,补贴24元,厨房电器,1
1544452,104460,女儿红绍兴黄酒精品五年陈1500ml*6坛绍兴酒半干型花雕酒,https://img.alicdn.com/bao/uploaded/O1CN015GRWRk1y1ITLXgkD2_!!6000000006518-0-yinhe.jpg,女儿红,234.0,,酒类,1
1540770,102386,小仙炖鲜炖燕窝2周套餐即食营养滋补品孕妇礼物送长辈,https://img.alicdn.com/bao/uploaded/O1CN01dItXxY1CKtxx4g75J_!!6000000000063-2-yinhe.png,小仙炖,718.0,下单立减340元,传统滋补营养品,1
1542516,102386,莱特维健益生菌胶囊活性益生元9000亿大人中老年调理肠道60粒/瓶,https://img.alicdn.com/bao/uploaded/O1CN01gGYRng1F6Bu2cT7cX_!!6000000000437-0-yinhe.jpg,莱特维健海外旗舰店,116.05,1件9.44折,保健食品/膳食营养补充食品,1
50487,61706,【B站专属】MegaRed脉拓原装进口高含量辅酶q10熬夜护心200mg90粒,https://img.alicdn.com/bao/uploaded/O1CN01P1dCyZ28kJaxWs2jS_!!6000000007970-0-yinhe.jpg,MegaRed/脉拓,289.0,满300减7,保健食品/膳食营养补充食品,1
106139,"661,704",丁禹兮代言甘源鲜虾味虾条豆果网红零食追剧办公休闲食品独立袋装,https://img.alicdn.com/bao/uploaded/i3/725677994/O1CN01MHZ3cW28vJ3qfoK0u_!!2-item_pic.png,KAM YUEN/甘源,17.8,下单立减22.1元,零食/坚果/特产,1
1539863,104460,康师傅方便面汤大师冬阴功海鲜面82g*12桶整箱装泡面速食,https://img.alicdn.com/bao/uploaded/O1CN01QOF08n1ujwgFM5BVS_!!6000000006074-0-yinhe.jpg,康师傅,60.0,,粮油调味/速食/干货/烘焙,1
1292,6,【包邮】信远斋桂花酸梅汤饮料乌梅汤解暑冰镇整箱出游口味任选,https://img.alicdn.com/bao/uploaded/O1CN01cVVkcF1MysPs2wJLn_!!6000000001504-0-yinhe.jpg,信远斋,64.9,,咖啡/麦片/冲饮,1
1536542,104460,昆仑山雪山矿泉水350ml*24瓶天然弱碱性口感清冽,https://img.alicdn.com/bao/uploaded/O1CN015fsEgs1fyOo816nfd_!!6000000004075-2-yinhe.png,昆仑山,76.0,,咖啡/麦片/冲饮,1
3781,89512,椰子水椰汁原液越南原装进口0添加正宗100%纯正天然0蔗糖佩思利官,https://img.alicdn.com/bao/uploaded/O1CN0188mpr728iU6IOPxBT_!!6000000007966-2-yinhe.png,俄罗斯进口馆RUSSupmkt俄品购,9.7,官方8.5折,咖啡/麦片/冲饮,1
31755,110046,空杯巴士|新鲜烘焙意式浓缩拼配商用咖啡豆焦糖油脂美式可磨粉1kg,https://img.alicdn.com/bao/uploaded/O1CN011dOaU41zZ19462zaE_!!6000000006727-0-yinhe.jpg,空杯巴士,96.0,官方8.5折,咖啡/麦片/冲饮,1
1237709,102386,青少年硫磺沐浴露祛痘除螨持久留香儿童沐浴乳液皮肤瘙痒正品官方,https://img.alicdn.com/bao/uploaded/O1CN012ppIOs1nXr0LAMftU_!!6000000005100-0-yinhe.jpg,ORGINESE/欧橘,68.0,直降20元,洗护清洁剂/卫生巾/纸/香薰,1
42259,,20提悬挂式纸巾宿舍实惠装面巾纸餐巾纸整箱卫生纸厨房耐用厕纸抽,https://img.alicdn.com/bao/uploaded/O1CN01qDGa5Y1JcUWwxv5om_!!6000000001049-0-yinhe.jpg,云垚（洗护）,5.01,直降4.89元,洗护清洁剂/卫生巾/纸/香薰,1
22957,102386,丝飘悬挂抽纸擦手提式家用纸巾四层实惠装厕纸挂式卫生纸餐巾纸,https://img.alicdn.com/bao/uploaded/O1CN01vx1dCD1a35EQd3BVE_!!6000000003273-0-yinhe.jpg,丝飘（洗护）,15.9,满5减3,洗护清洁剂/卫生巾/纸/香薰,1
1557778,102386,【宁艺卓同款】高洁丝透气夜安裤贴身防侧漏裤型卫生巾安睡裤,https://img.alicdn.com/bao/uploaded/O1CN01HUxEW61CAMtCnc2Uf_!!6000000000040-0-yinhe.jpg,高洁丝,27.8,下单立减21.1元,洗护清洁剂/卫生巾/纸/香薰,1
1233048,102386,【官方正品】CULTI库俐缇意大利扩香香氛无火藤条室内香薰2700ml,https://img.alicdn.com/bao/uploaded/O1CN01Atx6oH1tru0XsWrPq_!!6000000005956-2-yinhe.png,CULTI/库俐缇,4310.0,满1000减100,洗护清洁剂/卫生巾/纸/香薰,1
80173,,纸巾悬挂式抽纸厨房家用实惠底部餐巾纸擦手厕纸大包卫生纸面巾纸,https://img.alicdn.com/bao/uploaded/O1CN0151Un3C27CaupY4y6s_!!6000000007761-0-yinhe.jpg,织梦（居家日用）,13.5,官方8.5折,洗护清洁剂/卫生巾/纸/香薰,1
1260206,102386,【官方正品】CULTI库俐缇扩香无火藤条香薰室内迷雾森林礼物香氛,https://img.alicdn.com/bao/uploaded/O1CN012m4Fdx26GQUvPvTEo_!!6000000007634-0-yinhe.jpg,CULTI/库俐缇,571.0,满500减50,洗护清洁剂/卫生巾/纸/香薰,1
35813,89512,20大提56000张悬挂式抽纸家用餐巾纸实惠装擦手纸宿舍纸抽卫生纸,https://img.alicdn.com/bao/uploaded/O1CN01Oqc7BD1dthiyb7RZi_!!6000000003794-0-yinhe.jpg,云垚（洗护）,8.42,官方8.5折,洗护清洁剂/卫生巾/纸/香薰,1
